detected_at,station,track,artist,isrc,label,confidence,play_duration
2025-02-09 05:57:37.302730,Afia FM 93.0 Dakar,Slurpee,Bowling for Soup,USZCN1100020,Brando Records,100.0,0:03:07.773000
2025-02-09 05:57:46.862365,Bamtaare Dowri FM 92.5 Vélingara,Daddy’s Gonna Miss You,Yellowjackets,USWB10900221,X5 Music Group,100.0,0:04:35.866000
2025-02-09 05:57:55.224948,Bamtaare FM 103.4 Dodel,Daddy’s Gonna Miss You,Yellowjackets,USWB10900221,X5 Music Group,100.0,0:04:35.866000
2025-02-09 05:58:03.267303,Buuñaa FM 91.9 Mampatim,We’ll Sing in the Sunshine,Sonny & Cher,USAT20501288,Music Club Deluxe,100.0,0:02:41.573000
2025-02-09 05:58:14.843292,Central FM 107.1 Thiés,Daddy’s Gonna Miss You,Yellowjackets,USWB10900221,X5 Music Group,100.0,0:04:35.866000
2025-02-09 05:58:21.270292,Dakar Musique,Daddy’s Gonna Miss You,Yellowjackets,USWB10900221,X5 Music Group,100.0,0:04:35.866000
2025-02-09 05:58:41.388321,Diassing FM 93.9 Marsassoum,Daddy’s Gonna Miss You,Yellowjackets,USWB10900221,X5 Music Group,100.0,0:04:35.866000
2025-02-09 05:58:50.693267,FM Sénégal 103.1 Dakar,Daddy’s Gonna Miss You,Yellowjackets,USWB10900221,X5 Music Group,100.0,0:04:35.866000
2025-02-09 05:59:07.510951,Gabou FM 106.4 Sédhiou,Daddy’s Gonna Miss You,Yellowjackets,USWB10900221,X5 Music Group,100.0,0:04:35.866000
2025-02-09 05:59:21.865928,H24,Faithless Heart,Amy Grant,,Amy Grant Productions,100.0,0:05:13.360000
2025-02-09 05:59:32.735357,Hounaré FM 95.9 Cas-Cas,Daddy’s Gonna Miss You,Yellowjackets,USWB10900221,X5 Music Group,100.0,0:04:35.866000
2025-02-09 05:59:50.419454,Kaabala FM 97.9 Orkadiéré,Daddy’s Gonna Miss You,Yellowjackets,USWB10900221,X5 Music Group,100.0,0:04:35.866000
2025-02-09 06:00:08.685049,Kaolack Online,Slurpee,Bowling for Soup,USZCN1100020,Brando Records,100.0,0:03:07.773000
2025-02-09 06:00:24.555579,Love FM 107.3 Dakar,Faithless Heart,Amy Grant,,Amy Grant Productions,100.0,0:05:13.360000
2025-02-09 06:00:42.162135,Manooré FM 89.4 Dakar,Slurpee,Bowling for Soup,USZCN1100020,Brando Records,100.0,0:03:07.773000
2025-02-09 06:01:00.955582,Mbour FM 96.5,Slurpee,Bowling for Soup,USZCN1100020,Brando Records,100.0,0:03:07.773000
